closure_group_id,rca,length_m,lat,lon
{0165578b-eeee-4a72-adb4-d2fb729f4afd},,12500,-43.82651,172.97636
{b1ad9450-4918-421c-9f68-c7b2bcff0b52},Waikato District Council,12489,-37.47082,175.21479
{03aa7401-fb74-4501-90c2-dece5fc87476},Waka Kotahi NZ Transport Agency,12476,-38.08513,175.15707
{5253137b-05eb-4a58-8620-15656ed03c9b},Far North District Council,12467,-35.30162,174.13490
{68339780-74d9-4185-b8e1-12eafe259cc3},Waka Kotahi NZ Transport Agency,12451,-45.11469,170.01099
{105f7bce-7860-4e7f-9122-015401d16895},Land Information New Zealand,12441,-45.57546,168.18782
{abe82d88-5fd8-43c9-8e74-dfa1ec568e3f},Central Hawke's Bay District Council,12354,-39.97353,176.35568
{3b2a1706-2c09-43cb-8b9a-7144a18d8f6c},Central Hawke's Bay District Council,12330,-39.94902,176.82404
{f580c9c5-6456-4cdb-82f0-cc2c4477f816},Land Information New Zealand,12319,-39.46576,176.25359
{5d22e770-f239-4793-9e37-e288faaca58a},Waipa District Council,12249,-38.00343,175.42996
{71136ce5-e4d8-4b9d-8c62-58bb30117f27},Department of Conservation,12231,-38.55185,175.64373
{d9bdee38-7528-4807-a80e-1215497797f0},Land Information New Zealand,12222,-37.75852,177.73826
{3a063c5e-af80-4af0-9b2e-112a818c2cc4},Department of Conservation,12216,-38.64189,175.48420
{dd6cf7f9-c8c8-4136-a805-9adfbe63b0e8},Whangarei District Council,12199,-35.59555,174.19454
